iter	RMSE
692	43007.23259
693	43000.99742
694	42996.77817
695	42993.56205
696	42989.53734
697	42989.3357
698	42983.85912
699	42976.06996
700	42967.16941
701	42963.62605
702	42960.93798
703	42944.31331
704	42935.44597
705	42933.99665
706	42933.2206
707	42932.91693
708	42928.10908
709	42912.8574
710	42909.482
711	42901.86819
712	42895.72366
713	42890.39223
714	42886.87376
715	42886.0087
716	42879.9849
717	42878.85402
718	42866.72662
719	42864.90282
720	42864.50319
721	42861.32478
722	42846.38609
723	42844.06178
724	42841.56346
725	42838.24805
726	42827.55251
727	42813.42556
728	42805.81131
729	42802.31387
730	42797.05177
731	42794.83288
732	42785.7009
733	42783.30154
734	42770.84018
735	42769.09094
736	42766.14702
737	42762.12754
738	42758.70274
739	42755.23439
740	42751.02452
741	42749.86924
742	42746.45071
743	42740.57857
744	42735.87852
745	42728.45482
746	42725.39156
747	42719.738
748	42713.62886
749	42710.07082
750	42705.9509
751	42702.92861
752	42694.88525
753	42693.82682
754	42672.37184
755	42668.26656
756	42663.77061
757	42662.07361
758	42656.62009
759	42645.46148
760	42636.71224
761	42631.52115
762	42624.70182
763	42619.8047
764	42604.85142
765	42589.73004
766	42588.45792
767	42570.76437
768	42568.11999
769	42550.05018
770	42545.74789
771	42543.91597
772	42540.40665
773	42536.75727
774	42535.69867
775	42524.9822
776	42518.04429
777	42512.52641
778	42506.81244
779	42499.06709
780	42496.71955
781	42486.42368
782	42476.5659
783	42460.12429
784	42458.10037
785	42455.1664
786	42451.24434
787	42445.28841
788	42433.33589
789	42422.37609
790	42418.334
791	42407.22043
792	42403.94046
793	42403.17847
794	42399.08037
795	42391.05976
796	42373.77014
797	42369.04357
798	42364.48057
799	42364.00669
800	42361.77348
801	42350.95015
802	42345.61085
803	42339.32314
804	42334.31166
805	42333.90993
806	42332.77476
807	42324.49912
808	42323.21226
809	42318.16624
810	42313.8155
811	42309.95359
812	42300.4497
813	42296.65759
814	42295.2549
815	42291.17125
816	42287.43184
817	42281.26544
818	42279.72154
819	42278.46675
820	42273.39092
821	42271.60873
822	42270.99215
823	42268.40431
824	42260.93351
825	42254.31191
826	42250.78864
827	42243.80128
828	42234.55881
829	42232.09522
830	42223.25858
831	42220.85647
832	42219.07383
833	42216.32851
834	42215.3911
835	42209.60759
836	42205.00523
837	42202.87011
838	42195.21354
839	42194.13797
840	42191.57518
841	42189.7242
842	42184.76006
843	42183.04227
844	42182.80909
845	42173.32316
846	42165.25222
847	42161.76439
848	42158.58225
849	42153.55399
850	42149.33295
851	42142.38019
852	42138.47953
853	42132.60882
854	42123.7244
855	42121.11833
856	42117.42455
857	42116.44159
858	42115.08667
859	42114.10726
860	42111.12246
861	42104.70721
862	42096.19369
863	42092.64239
864	42088.13882
865	42084.69192
866	42081.82177
867	42075.35146
868	42067.1319
869	42066.48904
870	42061.88578
871	42054.82744
872	42050.08931
873	42037.06251
874	42025.02409
875	42017.70255
876	42015.02917
877	42013.65588
878	42010.68986
879	42010.51826
880	42004.49251
881	41999.04058
882	41994.36385
883	41989.7985
884	41980.48888
885	41971.76536
886	41958.98866
887	41946.07877
888	41937.44659
889	41929.51441
890	41927.05635
891	41926.54914
892	41923.26893
893	41917.90317
894	41914.55071
895	41908.75665
896	41894.08483
897	41889.88775
898	41885.66249
899	41882.48644
900	41881.73927
901	41878.16862
902	41877.72443
903	41872.13726
904	41867.34265
905	41863.55376
906	41859.23476
907	41848.38207
908	41842.38061
909	41840.19762
910	41834.32646
911	41832.76387
912	41823.08456
913	41808.78572
914	41806.41018
915	41805.22759
916	41797.66821
917	41794.57223
918	41777.95733
919	41772.66003
920	41771.80963
921	41769.48935
922	41758.39941
923	41753.69534
924	41748.47736
925	41746.38755
926	41742.13367
927	41739.91523
928	41736.17104
929	41732.8589
930	41728.94142
931	41725.41563
932	41719.68787
933	41711.58686
934	41710.18584
935	41705.86205
936	41702.07819
937	41697.19918
938	41694.81857
939	41688.9458
940	41684.68594
941	41671.05196
942	41660.14836
943	41655.66175
944	41646.62693
945	41637.88467
946	41635.11383
947	41623.78733
948	41616.72446
949	41605.96117
950	41602.71465
951	41593.27659
952	41589.52117
